Decade,Males,Number,Females,Number
1880,John,"89,950",Mary,"91,668"
1880,William,"84,881",Anna,"38,159"
1880,James,"54,056",Emma,"25,404"
1880,George,"47,651",Elizabeth,"25,006"
1880,Charles,"46,656",Margaret,"21,799"
1880,Frank,"30,967",Minnie,"21,724"
1880,Joseph,"26,292",Ida,"18,283"
1880,Henry,"24,139",Bertha,"18,263"
1880,Robert,"24,074",Clara,"17,717"
1880,Thomas,"23,750",Alice,"17,142"
1880,Edward,"23,133",Annie,"17,027"
1880,Harry,"22,649",Florence,"16,699"
1880,Walter,"18,185",Bessie,"15,373"
1880,Arthur,"16,180",Grace,"15,227"
1880,Fred,"15,602",Ethel,"14,866"
1880,Albert,"14,375",Sarah,"14,715"
1880,Samuel,"9,129",Ella,"13,936"
1880,Clarence,"8,760",Martha,"13,911"
1880,Louis,"8,275",Nellie,"13,761"
1880,David,"7,569",Mabel,"13,096"
1890,John,"80,665",Mary,"131,136"
1890,William,"72,244",Anna,"55,261"
1890,James,"50,724",Margaret,"37,938"
1890,George,"43,358",Helen,"37,802"
1890,Charles,"36,848",Elizabeth,"33,879"
1890,Joseph,"29,000",Ruth,"32,867"
1890,Frank,"28,718",Florence,"32,344"
1890,Robert,"26,147",Ethel,"31,453"
1890,Edward,"22,033",Emma,"28,652"
1890,Henry,"21,664",Marie,"25,853"
1890,Harry,"21,330",Clara,"25,473"
1890,Thomas,"21,115",Bertha,"25,125"
1890,Walter,"19,494",Minnie,"24,615"
1890,Arthur,"16,349",Bessie,"24,417"
1890,Fred,"14,270",Alice,"24,415"
1890,Albert,"13,753",Lillian,"24,106"
1890,Clarence,"11,900",Edna,"24,068"
1890,Willie,"9,849",Grace,"23,804"
1890,Roy,"9,779",Annie,"23,122"
1890,Louis,"8,443",Mabel,"21,991"
1900,John,"84,593",Mary,"161,505"
1900,William,"69,320",Helen,"69,429"
1900,James,"62,170",Margaret,"57,921"
1900,George,"43,589",Anna,"54,918"
1900,Charles,"36,185",Ruth,"51,011"
1900,Robert,"35,849",Elizabeth,"41,708"
1900,Joseph,"35,173",Dorothy,"39,112"
1900,Frank,"29,046",Marie,"37,091"
1900,Edward,"24,515",Florence,"36,191"
1900,Thomas,"21,785",Mildred,"36,173"
1900,Henry,"21,773",Alice,"35,233"
1900,Walter,"19,997",Ethel,"34,868"
1900,Harry,"17,906",Lillian,"32,519"
1900,Willie,"17,746",Gladys,"30,285"
1900,Arthur,"15,408",Edna,"29,832"
1900,Albert,"15,318",Frances,"28,499"
1900,Clarence,"13,573",Rose,"28,107"
1900,Fred,"13,076",Annie,"27,748"
1900,Harold,"12,796",Grace,"26,926"
1900,Paul,"12,637",Bertha,"24,247"
1910,John,"376,323",Mary,"478,642"
1910,William,"303,022",Helen,"248,155"
1910,James,"275,079",Dorothy,"207,476"
1910,Robert,"239,189",Margaret,"189,232"
1910,Joseph,"179,302",Ruth,"173,678"
1910,George,"176,611",Mildred,"123,999"
1910,Charles,"173,536",Anna,"118,998"
1910,Edward,"125,720",Elizabeth,"116,811"
1910,Frank,"116,019",Frances,"105,600"
1910,Thomas,"91,619",Virginia,"94,322"
1910,Walter,"89,146",Marie,"92,086"
1910,Harold,"79,721",Evelyn,"91,491"
1910,Henry,"79,669",Alice,"85,866"
1910,Paul,"78,217",Florence,"81,464"
1910,Richard,"74,603",Lillian,"75,914"
1910,Raymond,"71,820",Rose,"74,690"
1910,Albert,"68,207",Irene,"68,968"
1910,Arthur,"67,478",Louise,"67,972"
1910,Harry,"65,873",Edna,"66,896"
1910,Donald,"57,005",Catherine,"65,822"
1920,Robert,"576,362",Mary,"701,746"
1920,John,"564,064",Dorothy,"368,870"
1920,James,"515,306",Helen,"290,398"
1920,William,"512,400",Betty,"283,092"
1920,Charles,"298,033",Margaret,"245,007"
1920,George,"261,953",Ruth,"218,513"
1920,Joseph,"243,808",Virginia,"169,550"
1920,Richard,"222,607",Doris,"151,185"
1920,Edward,"197,352",Mildred,"147,152"
1920,Donald,"191,826",Frances,"140,385"
1920,Thomas,"161,111",Elizabeth,"139,674"
1920,Frank,"151,829",Evelyn,"124,163"
1920,Harold,"133,595",Anna,"123,892"
1920,Paul,"132,388",Marie,"110,566"
1920,Raymond,"124,215",Alice,"110,524"
1920,Walter,"119,808",Jean,"105,998"
1920,Jack,"115,982",Shirley,"98,602"
1920,Henry,"104,556",Barbara,"97,213"
1920,Kenneth,"99,494",Irene,"92,833"
1920,Arthur,"97,115",Marjorie,"91,222"
1930,Robert,"590,716",Mary,"572,942"
1930,James,"547,383",Betty,"300,369"
1930,John,"487,860",Barbara,"296,392"
1930,William,"416,646",Shirley,"229,355"
1930,Richard,"330,437",Patricia,"220,573"
1930,Charles,"303,163",Dorothy,"210,393"
1930,Donald,"283,648",Joan,"173,425"
1930,George,"192,255",Margaret,"157,361"
1930,Thomas,"183,855",Nancy,"142,479"
1930,Joseph,"180,536",Helen,"140,412"
1930,David,"164,674",Carol,"117,728"
1930,Edward,"147,824",Joyce,"115,503"
1930,Ronald,"140,312",Doris,"110,646"
1930,Paul,"125,749",Ruth,"109,196"
1930,Kenneth,"125,081",Virginia,"103,077"
1930,Frank,"108,074",Marilyn,"98,529"
1930,Raymond,"99,576",Elizabeth,"96,470"
1930,Jack,"96,376",Jean,"94,177"
1930,Harold,"95,447",Frances,"92,115"
1930,Billy,"88,314",Beverly,"80,839"
1940,James,"795,660",Mary,"640,023"
1940,Robert,"758,018",Linda,"531,631"
1940,John,"711,528",Barbara,"425,242"
1940,William,"556,399",Patricia,"411,393"
1940,Richard,"477,396",Carol,"292,321"
1940,David,"426,293",Sandra,"265,523"
1940,Charles,"361,691",Nancy,"252,037"
1940,Thomas,"350,739",Sharon,"221,223"
1940,Michael,"336,533",Judith,"218,017"
1940,Ronald,"282,417",Susan,"212,012"
1940,Larry,"255,858",Betty,"194,612"
1940,Donald,"247,755",Carolyn,"181,844"
1940,Joseph,"230,239",Margaret,"173,013"
1940,Gary,"217,732",Shirley,"171,773"
1940,George,"208,986",Judy,"167,711"
1940,Kenneth,"198,512",Karen,"167,689"
1940,Paul,"183,330",Donna,"165,519"
1940,Edward,"174,765",Kathleen,"152,978"
1940,Jerry,"167,220",Joyce,"151,484"
1940,Dennis,"162,091",Dorothy,"132,245"
1950,James,"843,489",Mary,"625,558"
1950,Michael,"837,142",Linda,"564,312"
1950,Robert,"830,134",Patricia,"459,623"
1950,John,"797,660",Susan,"437,723"
1950,David,"769,652",Deborah,"430,515"
1950,William,"591,025",Barbara,"345,706"
1950,Richard,"535,238",Debra,"341,306"
1950,Thomas,"454,195",Karen,"332,485"
1950,Mark,"382,430",Nancy,"286,779"
1950,Charles,"361,035",Donna,"270,325"
1950,Steven,"333,520",Cynthia,"263,397"
1950,Gary,"329,814",Sandra,"251,563"
1950,Joseph,"299,908",Pamela,"237,375"
1950,Donald,"273,453",Sharon,"232,789"
1950,Ronald,"271,053",Kathleen,"224,316"
1950,Kenneth,"262,718",Carol,"222,631"
1950,Paul,"253,094",Diane,"210,610"
1950,Larry,"245,612",Brenda,"209,232"
1950,Daniel,"243,613",Cheryl,"171,366"
1950,Stephen,"207,193",Janet,"167,505"
1960,Michael,"833,254",Lisa,"496,972"
1960,David,"734,056",Mary,"355,226"
1960,John,"713,540",Susan,"287,653"
1960,James,"684,885",Karen,"286,044"
1960,Robert,"650,872",Kimberly,"259,085"
1960,Mark,"441,446",Patricia,"231,146"
1960,William,"421,539",Linda,"225,419"
1960,Richard,"373,974",Donna,"213,453"
1960,Thomas,"327,158",Michelle,"208,290"
1960,Jeffrey,"302,054",Cynthia,"196,611"
1960,Steven,"290,674",Sandra,"183,833"
1960,Joseph,"283,104",Deborah,"183,434"
1960,Timothy,"276,858",Tammy,"182,213"
1960,Kevin,"271,463",Pamela,"181,936"
1960,Scott,"266,884",Lori,"176,557"
1960,Brian,"258,214",Laura,"174,176"
1960,Charles,"249,436",Elizabeth,"168,895"
1960,Paul,"242,547",Julie,"166,143"
1960,Daniel,"242,092",Brenda,"164,486"
1960,Christopher,"237,203",Jennifer,"164,411"
1970,Michael,"707,647",Jennifer,"581,772"
1970,Christopher,"475,614",Amy,"269,001"
1970,Jason,"462,928",Melissa,"253,282"
1970,David,"445,955",Michelle,"249,133"
1970,James,"444,948",Kimberly,"229,109"
1970,John,"402,841",Lisa,"228,684"
1970,Robert,"397,407",Angela,"225,241"
1970,Brian,"322,841",Heather,"203,929"
1970,William,"283,564",Stephanie,"160,466"
1970,Matthew,"277,959",Nicole,"144,672"
1970,Joseph,"244,925",Jessica,"143,491"
1970,Daniel,"244,557",Elizabeth,"142,858"
1970,Kevin,"212,367",Rebecca,"137,298"
1970,Eric,"211,569",Kelly,"133,563"
1970,Jeffrey,"202,952",Mary,"126,267"
1970,Richard,"202,880",Christina,"125,737"
1970,Scott,"194,671",Amanda,"123,935"
1970,Mark,"194,415",Julie,"121,941"
1970,Steven,"188,174",Sarah,"118,832"
1970,Thomas,"186,880",Laura,"118,212"
1980,Michael,"663,690",Jessica,"469,472"
1980,Christopher,"554,859",Jennifer,"440,859"
1980,Matthew,"458,955",Amanda,"369,716"
1980,Joshua,"396,570",Ashley,"352,171"
1980,David,"383,677",Sarah,"272,607"
1980,James,"356,428",Stephanie,"218,139"
1980,Daniel,"345,478",Melissa,"217,903"
1980,Robert,"321,655",Nicole,"210,477"
1980,John,"321,111",Elizabeth,"198,965"
1980,Joseph,"299,417",Heather,"191,859"
1980,Jason,"292,074",Tiffany,"158,614"
1980,Justin,"289,784",Michelle,"154,000"
1980,Andrew,"285,075",Amber,"153,939"
1980,Ryan,"278,916",Megan,"153,505"
1980,William,"248,270",Amy,"150,666"
1980,Brian,"233,994",Rachel,"146,659"
1980,Brandon,"232,195",Kimberly,"146,441"
1980,Jonathan,"229,939",Christina,"145,992"
1980,Nicholas,"223,311",Lauren,"145,143"
1980,Anthony,"211,820",Crystal,"141,002"
1990,Michael,"462,314",Jessica,"303,086"
1990,Christopher,"360,204",Ashley,"301,801"
1990,Matthew,"351,606",Emily,"237,227"
1990,Joshua,"329,114",Sarah,"224,310"
1990,Jacob,"298,334",Samantha,"223,995"
1990,Nicholas,"275,282",Amanda,"191,077"
1990,Andrew,"272,835",Brittany,"190,812"
1990,Daniel,"272,227",Elizabeth,"172,624"
1990,Tyler,"262,263",Taylor,"169,014"
1990,Joseph,"260,667",Megan,"160,355"
1990,Brandon,"259,384",Hannah,"158,773"
1990,David,"253,601",Kayla,"155,880"
1990,James,"244,896",Lauren,"153,565"
1990,Ryan,"241,181",Stephanie,"149,814"
1990,John,"240,047",Rachel,"149,113"
1990,Zachary,"225,254",Jennifer,"148,019"
1990,Justin,"220,086",Nicole,"136,092"
1990,William,"217,773",Alexis,"131,182"
1990,Anthony,"216,175",Victoria,"117,455"
1990,Robert,"205,409",Amber,"115,594"
2000,Jacob,"273,793",Emily,"223,658"
2000,Michael,"250,517",Madison,"193,134"
2000,Joshua,"231,885",Emma,"181,229"
2000,Matthew,"221,493",Olivia,"155,991"
2000,Daniel,"203,684",Hannah,"155,670"
2000,Christopher,"203,249",Abigail,"150,853"
2000,Andrew,"202,416",Isabella,"149,485"
2000,Ethan,"201,754",Samantha,"134,246"
2000,Joseph,"194,672",Elizabeth,"133,375"
2000,William,"194,280",Ashley,"133,010"
2000,Anthony,"191,815",Alexis,"130,759"
2000,David,"179,806",Sarah,"124,333"
2000,Alexander,"178,730",Sophia,"119,199"
2000,Nicholas,"177,550",Alyssa,"114,438"
2000,Ryan,"173,173",Grace,"110,678"
2000,Tyler,"165,502",Ava,"104,501"
2000,James,"163,061",Taylor,"100,951"
2000,John,"160,879",Brianna,"99,738"
2000,Jonathan,"144,738",Lauren,"97,134"
2000,Noah,"143,397",Chloe,"96,445"
2010,Noah,"145,195",Emma,"158,573"
2010,Jacob,"140,091",Sophia,"152,936"
2010,Mason,"133,535",Olivia,"147,486"
2010,Liam,"133,019",Isabella,"142,064"
2010,William,"131,241",Ava,"125,937"
2010,Ethan,"125,561",Mia,"103,580"
2010,Michael,"122,265",Emily,"100,414"
2010,Alexander,"118,376",Abigail,"99,356"
2010,James,"112,387",Madison,"84,803"
2010,Daniel,"111,658",Elizabeth,"77,233"
2010,Elijah,"110,075",Charlotte,"76,031"
2010,Aiden,"109,852",Chloe,"71,994"
2010,Jayden,"109,122",Ella,"69,455"
2010,Benjamin,"107,648",Amelia,"68,291"
2010,Matthew,"105,429",Avery,"67,348"
2010,Logan,"103,560",Sofia,"67,210"
2010,David,"97,485",Evelyn,"65,950"
2010,Joseph,"96,402",Harper,"63,891"
2010,Anthony,"96,047",Addison,"61,128"
2010,Jackson,"95,366",Grace,"59,916"
